step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5523487224,0.0044565051,0.4043322559,0.194407421,-0.9809034142,-0.0057510393,0.0010826954,0.7522450409,0.6024440917,0.0492122005,0.194407421,0.0004030439,-0.0007189058,0.0037770061,right,open
2,0.5530283032,0.0053135069,0.4047547868,-0.1954048531,0.9806871603,0.0069306824,0.0046478629,0.7518817071,0.0383455237,0.0503325309,-0.1954048531,-0.0014596531,-0.000947381,0.0006744646,left,open
3,0.5531473767,0.0045345274,0.404957976,-0.1956216339,0.9806480085,0.0062523988,0.0047505097,0.7518314504,0.1367988506,0.0507549316,-0.1956216339,-0.0021333653,-0.0011415775,0.0020274566,left,open
4,0.5526235516,0.004979045,0.4045384813,-0.1965207849,0.9804713428,0.0061188064,0.0042529195,0.752498987,0.1374841231,0.2113407949,-0.1965207849,-0.002010339,-0.000685075,0.0022381926,left,open
5,0.5527040636,0.0043811698,0.4053076291,-0.1990621715,0.9799384982,0.0094224748,0.002451252,0.6273478295,0.1339231526,0.2699253724,-0.1990621715,-0.0057149144,-0.0058405013,0.0074308739,left,w_r_o_l_c
