no,x,y,shape_labels,video_labels
1,1.318614006,-0.1109574214,1,1
1,1.4722392559,-0.2786350548,1,1
1,1.1100789309,0.0030700788,1,1
1,1.4241588116,-0.5870470405,1,1
1,1.5122995377,-0.1315372288,1,1
1,1.4677067995,0.1382178962,1,1
1,1.131509304,-0.0539615527,1,1
1,0.3203857541,0.0125708207,1,1
1,1.1492528915,0.3036545217,1,1
1,0.3307099342,-0.287868768,1,1
1,0.817352891,-0.1697578728,1,2
1,1.128080368,-0.7090126872,1,2
1,1.0485066175,-0.3357637227,1,2
1,1.4302871227,-0.321960479,1,2
1,1.2887580395,0.0222987756,1,2
1,1.3008081913,-0.8313475251,1,2
1,0.8917227983,0.4946720302,1,2
1,0.7811892629,0.5555016398,1,2
1,0.9335014224,-0.2051666081,1,2
1,1.1361591816,0.8055916429,1,2
1,0.667252481,0.1491577327,1,2
1,0.5096096992,0.1064864025,1,2
1,0.1451461464,-0.0321004763,1,2
1,0.1191666573,0.4256846607,1,2
1,0.4759030938,0.684826076,1,2
1,0.9541906118,0.8301317096,1,2
1,0.9455196857,0.2606687248,1,2
1,1.1674981117,0.276339978,1,2
1,0.771016717,0.0900663957,1,2
1,1.8735615015,-0.0975554362,1,2
1,1.9499903917,-0.7943102717,1,2
1,1.6945009232,-0.431984216,1,2
1,0.8444166183,-0.2877512276,1,2
1,1.270701766,-0.2268117964,1,2
1,1.1832616329,-0.4847282469,1,2
1,1.6318384409,0.2054238021,1,2
1,1.6635222435,-0.4691208899,1,2
1,1.7576215267,0.383733362,1,2
1,2.3618133068,0.6747818589,1,2
1,1.6414664984,-0.1090143099,1,2
1,0.9766519666,-0.211835891,1,2
1,1.1203995943,-0.3853320181,1,2
1,1.6164849997,0.1376216114,1,2
1,1.1409870386,0.1617268026,1,2
1,1.2069975138,-0.1855368912,1,2
1,1.2562866211,0.1879321039,1,2
1,1.3108586073,0.1072775945,1,2
1,1.2977952957,0.0821225271,1,2
1,1.0792503357,0.137272805,1,2
1,1.3706506491,-0.0354106799,1,2
1,0.5836005211,-0.0646489039,1,2
1,1.8293817043,0.0158576593,1,2
1,1.1777997017,0.1021872386,1,2
1,1.7416987419,-0.3052269518,1,2
1,1.0381031036,-0.1261041462,1,2
1,1.3117277622,-0.1051686183,1,2
1,1.052133441,-0.5922341943,1,2
1,1.3031404018,-0.0872595683,1,2
1,1.1921272278,0.1636222303,1,2
1,1.4953546524,-0.2124917805,1,2
1,1.4639316797,-0.0485020056,1,2
1,1.0877991915,-0.200871259,1,2
1,1.0082594156,-0.1551521122,1,2
1,1.3037436008,-0.1641307175,1,2
1,0.6630785465,0.5320600867,1,2
1,1.6033462286,-0.2352140248,1,2
1,0.4005473852,0.0889794454,1,2
1,0.0649505407,0.1686498821,1,2
1,0.3865663409,-1.1475635767,1,2
1,1.1612725258,-0.4743757546,1,2
1,1.6161904335,-0.4693165123,1,3
1,1.5335438251,-0.4806504548,1,3
1,1.3902293444,-0.7906356454,1,3
1,1.0707267523,-0.5957971215,1,3
1,1.1680282354,-0.7947301269,1,3
1,0.9954352379,-0.250749141,1,3
1,0.5466774702,-0.2556145489,1,3
1,0.7083542347,0.4830002487,1,3
1,0.9754843712,0.7374139428,1,3
1,0.7205114961,-0.0442310944,1,3
1,1.2448196411,-0.0780084506,1,3
1,1.1922881603,0.0432302579,1,3
1,0.9889435768,0.425265044,1,3
1,0.4898011684,-0.4885874093,1,3
1,1.0228139162,-0.3533537686,1,3
1,1.5801959038,-0.8082354665,1,3
1,1.3729892969,-0.2430384457,1,3
1,1.895632267,-0.5742478967,1,3
1,0.962618053,-1.1169172525,1,3
1,1.0809856653,-0.5360241532,1,3
1,1.6618347168,-0.3812244236,1,3
1,1.0687742233,-0.2247836888,1,3
1,1.322866559,-0.4091904461,1,3
1,1.4188367128,-0.1853189766,1,3
1,1.4686893225,-0.4250226319,1,3
1,1.5119998455,0.0059253797,1,3
1,0.3991963267,0.2427395284,1,3
1,1.6606419086,-0.3057818711,1,3
1,1.24312675,0.1917493045,1,3
1,1.3530228138,-0.3730573952,1,3
1,1.0293557644,-0.6611617208,1,3
1,0.6837850809,-0.4500106871,1,3
1,1.2450984716,-0.4290618002,1,3
1,1.2856761217,0.1730538309,1,3
1,1.964422226,0.0336750373,1,3
1,1.1729819775,-0.8506861329,1,3
1,1.1819223166,-0.3953250945,1,3
1,0.6363157034,-0.4084430039,1,3
1,0.908036232,-0.0594549552,1,3
1,1.0865303278,-0.6264489293,1,3
1,0.9959712029,-0.2372014821,1,3
1,1.2289772034,-0.0704055205,1,3
1,1.2984849215,-0.5896645188,1,3
1,1.0508904457,-0.1978776753,1,3
1,1.0796608925,-0.415269047,1,3
1,1.3471922874,-0.2919606268,1,3
1,1.4701675177,0.0643536672,1,3
1,0.7176750302,-0.0190370455,1,3
1,0.992367506,-0.189856559,1,3
1,1.5383615494,-0.1606960595,1,3
1,1.2844496965,-0.149002105,1,3
1,1.4124828577,-0.4881844819,1,3
1,0.8756356239,-0.3102964461,1,3
1,1.2764283419,-0.7285296321,1,3
1,1.9225217104,-0.3414721787,1,3
1,2.0007362366,-0.4127991498,1,3
1,1.0312376022,-0.8198938966,1,3
1,-0.0371711105,-0.5542262197,1,3
1,0.5455432534,-0.1134937182,1,3
1,0.7586582303,-0.3648789227,1,3
1,0.8226592541,-0.7255746722,1,4
1,1.672029376,-0.5873182416,1,4
1,0.8793296814,-0.2943432629,1,4
1,1.4046088457,-0.5329706073,1,4
1,1.0053645372,-0.647388041,1,4
1,1.1746249199,-0.7223226428,1,4
1,1.1854180098,-0.6154308915,1,4
1,0.3725056052,0.3171026409,1,4
1,-0.4105234146,0.54640764,1,4
1,0.3361237645,0.2578807771,1,4
1,0.8685338497,0.5414606929,1,4
1,-0.2196587771,-0.135997802,1,4
1,0.4987840056,-0.1591399014,1,4
1,0.408888638,-0.1523070633,1,4
1,1.024975419,-0.6097148061,1,4
1,0.8625084162,0.193277806,1,4
1,1.185742259,-0.1513400376,1,4
1,0.6118886471,-0.3501696885,1,4
1,1.7642447948,-1.1305189133,1,4
1,1.5505741835,-1.3913325071,1,4
1,1.0830148458,-0.5183561444,1,4
1,0.9699304104,-1.1506960392,1,4
1,1.162011385,-0.7257757783,1,4
1,0.9576849341,-0.1230986491,1,4
1,0.7734293938,-1.034733057,1,4
1,0.6425677538,-0.3807711899,1,4
1,1.5779192448,0.1566965282,1,4
1,1.3246226311,-0.0410919562,1,4
1,1.3894188404,-0.1794019043,1,4
1,1.180243969,-0.0254613534,1,4
1,0.6816240549,-0.0975795165,1,4
1,1.0652602911,-0.0771627799,1,4
1,0.9382564425,-0.4451526701,1,4
1,2.04855299,0.1213343963,1,4
1,1.1562385559,-0.1664679348,1,4
1,0.9432490468,-0.4667606652,1,4
1,0.6195111275,-0.4808652699,1,4
1,1.6333518028,-0.4943900406,1,4
1,1.2542312145,-0.0414139405,1,4
1,1.5423437357,-0.5939183831,1,4
1,1.4553828239,-0.6072635055,1,4
1,1.4928581715,-0.5055426955,1,4
1,1.1798379421,-0.001649417,1,4
1,1.4155170918,-0.5774020553,1,4
1,1.0943100452,-0.3007248938,1,4
1,1.3335227966,-0.1820031703,1,4
1,1.2461570501,-0.1790740788,1,4
1,1.1884400845,-0.3097925484,1,4
1,0.9598314762,-0.4955070317,1,4
1,1.4112472534,0.0183624849,1,4
1,0.9872868061,-0.244076997,1,4
1,1.0028381348,-0.2809896767,1,4
1,0.9216063023,-0.4816459715,1,4
1,1.7883251905,-0.5949657559,1,4
1,0.945289135,-0.0286193267,1,4
1,1.9158073664,-0.3750757277,1,4
1,0.7446158528,-0.4121513665,1,4
1,0.5443618298,-0.3047771752,1,4
1,0.5364408493,-0.4205560982,1,4
1,0.9147992134,-0.1497536004,1,4
1,1.1116374731,-0.7557209134,1,5
1,1.0085150003,-0.705249846,1,5
1,1.2580726147,-0.6573918462,1,5
1,1.2373366356,-0.613930881,1,5
1,1.1605582237,0.2000214756,1,5
1,0.2049587816,0.4260965288,1,5
1,0.5407745838,0.3763758838,1,5
1,0.1926900595,0.4568139017,1,5
1,0.8886529207,0.5111662745,1,5
1,0.7554717064,0.8355843425,1,5
1,0.498234868,-0.268769294,1,5
1,0.7091408372,0.0006773099,1,5
1,0.4682779908,-0.0866392031,1,5
1,0.9629297853,-0.1770115197,1,5
1,1.4149631262,-0.3882227242,1,5
1,0.7461345196,-0.1341529191,1,5
1,0.6361182928,-0.2709765732,1,5
1,1.4890562296,-0.7867310643,1,5
1,0.8384897709,-1.0935598612,1,5
1,1.049251914,-0.8600004315,1,5
1,1.0503538847,-0.1388984025,1,5
1,1.385103941,-0.5113537908,1,5
1,0.3034707308,0.4116306007,1,5
1,1.0908918381,-0.4482207596,1,5
1,1.9707957506,0.4882623851,1,5
1,1.5216305256,0.082566224,1,5
1,1.2652496099,0.2471694648,1,5
1,2.425495863,-0.2758839428,1,5
1,1.5358178616,-0.2115068734,1,5
1,1.1472791433,-0.123120226,1,5
1,1.1262667179,-0.0762787238,1,5
1,1.0010207891,-0.0194988623,1,5
1,1.6590743065,-0.5898714662,1,5
1,1.2458434105,-0.1585369408,1,5
1,1.8674572706,-0.2402766049,1,5
1,1.8854432106,-0.4724451602,1,5
1,1.7851933241,-0.5521393418,1,5
1,1.244052887,-0.6190705895,1,5
1,1.5462092161,-0.4254970849,1,5
1,1.3065401316,-0.5674059987,1,5
1,1.7178610563,-0.4460685551,1,5
1,2.5622229576,-1.3125668764,1,5
1,1.5583944321,-0.0242746249,1,5
1,1.3369550705,0.1331430376,1,5
1,1.2425454855,0.0942284688,1,5
1,0.9795050621,0.243822664,1,5
1,1.3597761393,-0.3949082196,1,5
1,1.2722730637,-0.3868582547,1,5
1,1.9309118986,0.0530461892,1,5
1,1.5431634188,-0.1491246521,1,5
1,1.1317665577,-0.2281451523,1,5
1,1.4668693542,-0.0853008404,1,5
1,1.5318614244,-0.5631816983,1,5
1,1.1782146692,-0.4635925591,1,5
1,0.9871791601,-0.2332985699,1,5
1,1.0256092548,-0.4863168299,1,5
1,0.7681916356,-0.3352668583,1,5
1,0.0601621121,0.0846106634,1,5
1,1.3615983725,-0.2025991976,1,5
1,0.5038803816,-0.5243936181,1,5
1,1.0731580257,-0.6764498353,1,6
1,1.4603141546,-0.9788536429,1,6
1,1.8144612312,-0.6192250848,1,6
1,1.7289046049,-0.3868115246,1,6
1,1.5322209597,0.1918210685,1,6
1,0.3685493469,0.5251435637,1,6
1,0.155822441,-0.0429542437,1,6
1,0.0952737182,-0.1378701031,1,6
1,0.0412089378,0.1652161777,1,6
1,0.3140366077,0.4538807571,1,6
1,0.9761385918,0.2704705894,1,6
1,0.4049144983,-0.0660195723,1,6
1,0.9795541167,-0.3705523312,1,6
1,0.8826080561,-1.168810606,1,6
1,2.0720448494,-0.4713108838,1,6
