no,x,y,shape_labels,video_labels
1,1.5542818308,0.6151439548,1,1
1,0.4040427804,1.4308921099,1,1
1,1.1210267544,1.151429534,1,1
1,1.4537196159,0.5402367115,1,1
1,0.5349826813,1.1076680422,1,1
1,0.540365696,0.9496619105,1,1
1,-0.0649606958,0.6417877674,1,1
1,-0.3222067356,1.1810059547,1,1
1,-0.2392156422,1.1056933403,1,1
1,0.0504700243,0.4238305986,1,1
1,0.8394325376,0.3351344168,1,1
1,0.6900509,0.2925348282,1,1
1,1.1142312288,0.3653106689,1,1
1,1.1185042858,0.6558915377,1,1
1,1.5453571081,0.6531391144,1,1
1,1.5641934872,0.5577607155,1,1
1,1.4799896479,0.3138186932,1,1
1,1.2002761364,0.6034678221,1,1
1,1.2064666748,0.6978368163,1,1
1,1.731217742,0.3782047331,1,1
1,1.6958242655,0.3475855291,1,1
1,1.7199705839,0.4383761883,1,1
1,1.7235857248,0.3762295544,1,1
1,1.7527596951,0.326482892,1,1
1,1.4068062305,0.3395625949,1,1
1,0.9466050267,0.1384675205,1,1
1,1.4269207716,0.4235672057,1,1
1,1.3948019743,0.1450275779,1,1
1,1.686188817,0.1893258095,1,1
1,1.8384234905,0.3010653853,1,1
1,1.4918032885,-0.0646090135,1,1
1,1.8189684153,0.2473416924,1,1
1,1.7603892088,0.2032270133,1,1
1,1.6312385798,0.183722198,1,1
1,1.4593713284,-0.0445979759,1,1
1,1.6980398893,0.1428345442,1,1
1,1.6511641741,0.1946077645,1,1
1,1.7295281887,0.1481636465,1,1
1,1.7688326836,0.230641067,1,1
1,1.7815287113,0.1110507026,1,1
1,1.8652931452,0.2661122382,1,1
1,1.6525616646,0.153306663,1,1
1,1.7691361904,0.1481361985,1,1
1,1.5432370901,0.10265515,1,1
1,1.7271277905,0.1082171276,1,1
1,1.7881681919,0.2042903006,1,1
1,1.7416187525,0.1365716457,1,1
1,1.2620877028,0.2716917396,1,1
1,1.5184277296,0.2136875987,1,1
1,1.680550456,0.1836300194,1,1
1,1.1438639164,0.1813199222,1,1
1,1.3845225573,0.2073315978,1,1
1,0.5961671472,0.1913711429,1,1
1,1.4856462479,0.2465817034,1,1
1,1.4876445532,0.2023683786,1,1
1,1.6073964834,0.1260417104,1,1
1,1.1179163456,0.8545178771,1,1
1,1.0647736788,0.6947074533,1,1
1,1.3198586702,0.0882836059,1,1
1,1.6399827003,0.8454688787,1,1
1,1.0186985731,0.7287666202,1,2
1,1.4082523584,0.7915423512,1,2
1,1.1304844618,-0.1450133026,1,2
1,1.305226326,0.10689459,1,2
1,1.2170952559,-0.281499058,1,2
1,1.3934527636,-0.2836361229,1,2
1,0.7479146123,-0.0185829625,1,2
1,0.6247195601,0.0094907358,1,2
1,1.1325273514,0.0876776055,1,2
1,-0.2064840794,-0.2516319156,1,2
1,1.1176609993,0.2435004115,1,2
1,1.193441391,-0.0255456194,1,2
1,0.2514672875,0.4191799462,1,2
1,1.4918751717,0.3857268393,1,2
1,0.3034089208,0.3294820487,1,2
1,0.8651810884,0.2723962367,1,2
1,1.4700250626,0.4169034362,1,2
1,0.7797498107,0.2179865539,1,2
1,1.2981197834,0.8603120446,1,2
1,1.7983294725,0.796382606,1,2
1,1.8410172462,0.2854053676,1,2
1,1.676644206,0.309820652,1,2
1,1.654904604,0.2097401321,1,2
1,1.6561840773,0.2233877778,1,2
1,1.5230392218,0.1802134216,1,2
1,1.5920007229,-0.1447430849,1,2
1,1.5609279871,0.2403596938,1,2
1,1.3983746767,0.1965638995,1,2
1,1.4675755501,0.1062316671,1,2
1,1.4465553761,0.2911975384,1,2
1,1.5752161741,0.3702422678,1,2
1,1.7160903215,0.1863676012,1,2
1,1.7099432945,0.1946436465,1,2
1,1.4075491428,0.2337597907,1,2
1,1.3914083242,0.0841235891,1,2
