no,x,y,shape_labels,video_labels
1,0.4448154569,-1.1441030502,1,1
1,-0.0231599249,-1.4610397816,1,1
1,0.8608133793,-0.760022819,1,1
1,0.1924385428,-1.1835281849,1,1
1,0.3912703097,0.2830440402,1,1
1,0.3999864757,-1.0361301899,1,1
1,0.6002324224,-0.3030952215,1,1
1,0.6449899673,-0.6885861754,1,1
1,0.352183491,-0.6757472157,1,1
1,0.1659390926,-0.6579940915,1,1
1,0.1131685972,-1.0149617195,1,1
1,-0.6068322659,-1.0497906208,1,1
1,-1.4304724932,-0.392247498,1,1
1,-1.025151372,-1.1375730038,1,1
1,-1.468701005,-1.4908406734,1,1
1,-1.605781436,-1.4368679523,1,1
1,-1.4241825342,-0.7396974564,1,1
1,-1.9020923376,-1.4585659504,1,1
1,-0.8158704042,-1.3954603672,1,1
1,-0.9739917517,-1.092933774,1,1
1,-1.1719739437,-0.7072114944,1,1
1,-0.6839689016,-0.8055426478,1,1
1,-1.279258132,-0.3391859531,1,1
1,-1.882961154,-0.3466435671,1,1
1,-1.5515488386,-0.596247673,1,1
1,-1.8422352076,-0.3885071278,1,1
1,-1.0661129951,-0.2030905634,1,1
1,-1.9843859673,-0.5151641965,1,1
1,-1.7694730759,-0.9278303981,1,1
1,-1.6333450079,-0.6771575809,1,1
1,-1.2693985701,-1.2809232473,1,1
1,-1.3504105806,-1.0156240463,1,1
1,-1.6800621748,-0.9345390201,1,1
1,-1.7497037649,-1.0612899065,1,1
1,-1.3944400549,-0.9737866521,1,1
1,-1.5778063536,-1.0829148293,1,1
1,-1.8843290806,-1.4736750126,1,1
1,-1.9597080946,-0.9559326768,1,1
1,-1.8666678667,-0.7187376022,1,1
1,-1.2838790417,-0.6715202928,1,1
1,-1.5660461187,-0.6660584211,1,1
1,-1.5992457867,-0.7757709622,1,1
1,-1.3821525574,-1.0979180336,1,1
1,-1.9013596773,-0.7785666585,1,1
1,-1.668985486,-1.0301675797,1,1
1,-1.9053171873,-0.7435771823,1,1
1,-2.0961790085,-1.1897906065,1,1
1,-1.4677655697,-1.2410854101,1,1
1,-1.7593079805,-1.0582854748,1,1
1,-1.6434062719,-1.2730226517,1,1
1,-1.5847355127,-1.0932927132,1,1
1,-1.8777680397,-1.2829244137,1,1
1,-0.9718510509,-0.5072963834,1,1
1,-1.6142089367,-0.8377583623,1,1
1,-1.5406310558,-0.9583620429,1,1
1,-2.1563112736,-0.5075265765,1,1
1,-0.569942832,-1.4330785275,1,1
1,-0.8678245544,-0.9544439316,1,1
1,-1.5733997822,-1.3812482357,1,1
1,-1.1636633873,-2.0974400043,1,1
1,-1.8277617693,-1.3157020807,1,2
1,-1.5895735025,-1.5660067797,1,2
1,-1.4246679544,-1.4985700846,1,2
1,-1.9427720308,-1.138320446,1,2
1,-1.9638000727,-1.0080977678,1,2
1,-1.4053133726,-1.4499061108,1,2
1,-0.367485106,-0.8537397981,1,2
1,-0.6251371503,-0.3946416378,1,2
1,-0.8271303177,-1.0770522356,1,2
1,-0.9041053057,0.491251111,1,2
1,-1.6823208332,-0.6789965034,1,2
1,-1.242877841,-0.5255821943,1,2
1,-1.2081805468,-0.9655483365,1,2
1,-1.2026560307,-0.7286148667,1,2
1,-1.4859930277,-0.9823755622,1,2
1,-0.8377425075,-0.7038881183,1,2
1,-1.062177062,-0.6952978969,1,2
1,-1.4223474264,-0.6723377109,1,2
1,-0.5736061931,-0.5867084861,1,2
1,-1.6464873552,-1.1310948133,1,2
1,-1.2358056307,-1.0038068295,1,2
1,-1.585739255,-1.3699884415,1,2
1,-1.4550914764,-0.6898412108,1,2
1,-1.9231643677,-0.7261046171,1,2
1,-2.066116333,-0.7229058146,1,2
1,-2.1704621315,-0.7580669522,1,2
1,-1.0670205355,-0.6499394178,1,2
1,-0.7513005137,-0.0319259316,1,2
1,-1.2528928518,0.0989562422,1,2
1,-1.7699081898,-0.8638713956,1,2
1,-1.5191246271,-0.4772301316,1,2
1,-1.8617309332,-0.5883668065,1,2
1,-2.1485133171,-0.3452814221,1,2
1,-2.3813390732,-0.4882714152,1,2
1,-2.2248854637,-0.5996751785,1,2
1,-2.4109773636,-0.693228066,1,2
1,-2.0692415237,-0.45462358,1,2
1,-1.5072978735,-0.7004237771,1,2
1,-1.6731287241,-1.0953862667,1,2
1,-1.3359307051,-0.5149659514,1,2
1,-0.9282907248,-0.9853209853,1,2
1,-1.2993122339,-0.9657225013,1,2
1,-1.0082862377,-0.5053852201,1,2
1,-0.9931410551,-1.0231980085,1,2
1,-1.3806618452,-0.8066769838,1,2
1,-1.3474068642,-0.7571330667,1,2
1,-1.6326305866,-0.8346791863,1,2
1,-1.5194369555,-0.7328793406,1,2
1,-1.3345760107,-0.6496021152,1,2
1,-1.4018718004,-0.7010916471,1,2
1,-1.543769598,-0.7068673968,1,2
1,-2.0013637543,-0.3966360092,1,2
1,-1.4716889858,-0.8406156301,1,2
1,-1.5103310347,-0.6884812713,1,2
1,-1.7148988247,-0.6042363644,1,2
1,-1.6014746428,-0.6022840142,1,2
1,-1.2115620375,-0.9316720366,1,2
1,0.3952744901,-1.4149781466,1,2
1,-1.1476134062,-1.2211703062,1,2
1,-1.341658473,-1.0433120728,1,2
1,-1.6661182642,-1.3641986847,1,3
1,-1.3521188498,-1.4779400826,1,3
1,-1.9842088223,-1.4306637049,1,3
1,-1.955196619,-1.5916579962,1,3
1,-1.7587355375,-1.7174189091,1,3
1,-0.9448831081,-0.6107192636,1,3
1,-0.7881367803,-1.3302177191,1,3
1,-0.7303078175,-0.9260992408,1,3
1,-1.1117690802,-0.0632933527,1,3
1,-1.6375623941,-0.7570225596,1,3
1,-1.7275787592,-0.6955665946,1,3
1,-1.2579666376,-0.4938110709,1,3
1,-1.3650858402,-0.665432632,1,3
1,-1.2065719366,-1.3955755234,1,3
1,-1.5277765989,-1.3345303535,1,3
1,-2.0213041306,-1.325520277,1,3
1,-2.0576920509,-1.0295060873,1,3
1,-1.6878507137,-1.8395431042,1,3
1,-1.6501799822,-1.591427207,1,3
1,-0.7971040606,-1.5948219299,1,3
1,-1.7678998709,-1.1473760605,1,3
1,-1.6236181259,-1.3172500134,1,3
1,-1.2939480543,-1.1545045376,1,3
1,-1.4887106419,-1.4175646305,1,3
1,-1.8934656382,-1.357562542,1,3
1,-1.3640049696,-0.1037146747,1,3
1,-0.7984293699,-1.158675313,1,3
1,-1.3688604832,-0.6677207947,1,3
1,-2.2904486656,-0.7966365218,1,3
1,-1.8849021196,-0.7783766389,1,3
