no,x,y,shape_labels,video_labels
1,1.4409170151,1.4335529804,1,1
1,1.842441678,1.7838243246,1,1
1,0.9018579125,1.7179086208,1,1
1,0.6728446484,1.5289818048,1,1
1,0.7607166171,1.5203570127,1,1
1,0.7241091132,1.223613739,1,1
1,0.5169087052,1.5802514553,1,1
1,1.2653576136,1.0254340172,1,1
1,1.1664004326,0.8807156086,1,1
1,1.5337973833,0.4500114918,1,1
1,1.0939952135,0.5119787455,1,1
1,1.6142622232,1.1950466633,1,1
1,1.501683712,0.8451621532,1,1
1,1.4584000111,0.8758572936,1,1
1,1.7345663309,1.037665844,1,1
1,1.7625454664,1.1466817856,1,1
1,1.9877082109,1.5793762207,1,1
1,1.4582624435,1.0411635637,1,1
1,1.4349900484,1.296364069,1,1
1,2.2678184509,2.1864275932,1,1
1,1.8742239475,1.9913643599,1,1
1,1.5163125992,1.2899436951,1,1
1,0.8103922606,0.8671579361,1,1
1,1.0013438463,0.5442903638,1,1
1,1.0539712906,0.2904667854,1,1
1,0.5286024213,0.3632181287,1,1
1,1.6681227684,1.6840577126,1,1
1,1.1785281897,0.3055949211,1,1
1,0.791197896,1.0839368105,1,1
1,1.5921801329,1.998490572,1,1
1,1.4319835901,1.1401911974,1,1
1,1.6194723845,0.8998124599,1,1
1,2.240626812,0.8461552858,1,1
1,1.9486671686,0.5137669444,1,1
1,1.4674750566,0.6580675244,1,1
1,1.5154799223,1.0836148262,1,1
1,1.8827689886,0.8674985766,1,1
1,1.1465758085,1.6970880032,1,1
1,1.3680032492,1.5936726332,1,1
1,1.354850173,1.8151654005,1,1
1,1.9950181246,1.7662811279,1,1
1,1.299118638,2.4211714268,1,1
1,1.6895009279,1.1663769484,1,1
1,1.4282007217,1.658236742,1,1
1,1.7462240458,1.7258043289,1,1
1,1.6538412571,1.8888809681,1,1
1,1.389098525,2.0286052227,1,1
1,1.1238256693,1.9989908934,1,1
1,1.2524838448,1.3110421896,1,1
1,1.9738875628,1.4457578659,1,1
1,1.6478822231,1.7958979607,1,1
1,1.4045747519,1.257661581,1,1
1,1.0860116482,2.1283516884,1,1
1,1.4396170378,1.7687308788,1,1
1,1.5902107954,1.2453224659,1,1
1,2.0912516117,0.5367792845,1,1
1,1.7017731667,1.0337094069,1,1
1,1.157484889,0.7169656754,1,1
1,0.866810739,1.0873200893,1,1
1,0.6971968412,1.1336615086,1,1
1,1.0818382502,1.9008131027,1,2
1,1.6392122507,1.686373353,1,2
1,1.234841466,1.7538276911,1,2
1,1.5902297497,1.4854601622,1,2
1,1.6674720049,1.0409936905,1,2
1,1.2976030111,0.9431827068,1,2
1,1.2784748077,1.9945402145,1,2
1,0.7896543145,0.5541142225,1,2
1,0.8821434379,1.0839085579,1,2
1,0.8819538951,-0.083685264,1,2
1,0.4713147879,0.6257204413,1,2
1,0.2823707461,0.7759000063,1,2
1,0.7429870963,1.2349294424,1,2
1,0.5854869485,0.7108575106,1,2
1,1.0648885965,1.1964732409,1,2
1,1.3290294409,0.9917656779,1,2
1,1.2027919292,0.6958397627,1,2
1,1.1165295839,1.5799634457,1,2
1,0.7324350476,1.0604094267,1,2
1,0.8916002512,1.1289638281,1,2
1,1.009146452,1.0585610867,1,2
1,1.4224634171,1.5022240877,1,2
1,1.3838996887,1.4558291435,1,2
1,1.5204402208,1.0483038425,1,2
1,2.1363840103,1.1839654446,1,2
1,2.8491299152,1.1280595064,1,2
1,2.5017211437,0.9158095717,1,2
1,2.5903608799,0.8633750081,1,2
1,2.6514370441,0.9667699337,1,2
1,2.2804479599,-0.5480356812,1,2
1,1.2160538435,1.210141778,1,2
1,1.9174764156,1.1261026859,1,2
1,2.7279193401,1.5374646187,1,2
1,1.9757428169,0.906383574,1,2
1,1.6663123369,1.1410168409,1,2
1,1.7688903809,1.5708661079,1,2
1,1.703887105,1.4916446209,1,2
1,1.2764353752,1.3653023243,1,2
1,1.2050918341,1.7314277887,1,2
1,1.1424106359,2.2553589344,1,2
1,1.8421424627,2.4325590134,1,2
1,1.1589764357,2.4255871773,1,2
1,0.5260561109,2.0116994381,1,2
1,1.4712506533,1.0898948908,1,2
1,1.7322245836,0.6603090763,1,2
1,1.7668322325,0.5255260468,1,2
1,1.7765001059,0.9766869545,1,2
1,1.3632061481,0.7907270193,1,2
1,1.6166312695,1.2453809977,1,2
