step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5512644408,0.0048734306,0.403533133,-0.8729231738,-0.4878281228,-0.0009998469,0.0052778275,0.7540949417,0.5993374102,0.0560640972,-0.8729231738,-0.0059633302,-0.0010433703,0.0026422977,right,open
2,0.5511225168,0.0040674452,0.4030293251,0.8740446637,0.485842322,0.0015273853,0.0009116764,0.7572511774,0.0105152683,0.0450612244,0.8740446637,-0.002200397,-0.0026818523,0.0074574194,left,open
3,0.5515294439,0.0033589575,0.4025207767,0.8746778319,0.4847040053,0.0004697077,0.0007049482,0.758738819,0.0160502898,0.1087292641,0.8746778319,-0.006143651,-0.0020818272,0.008546006,left,open
4,0.5518051726,0.00518184,0.4033169938,-0.8739609683,-0.4858896601,-0.0049014977,0.0089128757,0.6717346791,0.0164875461,0.1104354439,-0.8739609683,-0.0028332796,-0.0083066983,0.0073680016,left,w_r_o_l_c
