step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.55211996,0.0044167537,0.4032249965,0.9999707453,0.006016072,-0.0036746461,0.0029685803,0.7541039125,0.0204280752,0.0616976106,0.9999707453,-0.001910871,0.0046669753,0.0022474689,left,open
2,0.5529829824,0.0050565677,0.4039041441,-0.9999759968,-0.0040507113,0.0019878925,0.0052579344,0.7547809078,0.0196145563,-0.0733544409,-0.9999759968,0.0057833728,-0.0014328575,0.0008825731,left,open
3,0.5536623055,0.0066212174,0.4046083044,-0.9999675606,-0.0014469418,0.0036590319,0.0070281959,0.6370577348,0.0205942308,-0.0737138898,-0.9999675606,-0.0064907968,0.0068628288,0.0024372006,left,w_r_o_l_c
