step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5521320684,0.0061464153,0.4040785585,-0.999965278,-0.0042561967,0.0068014387,0.0022512136,0.7560342993,0.0103164397,0.0467192228,-0.999965278,-0.0031064821,-0.0018615995,0.0040371121,left,open
2,0.5521139777,0.0040181762,0.4034192844,-0.999968165,-0.0028045036,0.0062538571,0.0040857047,0.7585903323,0.0137753544,-0.1775025723,-0.999968165,-0.0032810564,-0.0053720068,0.0083744992,left,open
3,0.5523607579,0.0048473929,0.4035159963,-0.9999853804,-0.0044736494,0.0008354042,0.0029202002,0.6465796753,0.0145752953,-0.1782263318,-0.9999853804,-0.0033612481,-0.0008509188,0.0065023246,left,open
4,0.5519543004,0.0057649243,0.4040533667,-0.9999748834,-0.0043135752,0.0034479588,0.0044426578,0.6477385725,0.013266286,0.0430278374,-0.9999748834,-0.0040456011,-0.0002455685,0.0023683826,left,open
5,0.5527909524,0.0056992251,0.4037120952,-0.9592895759,-0.282344202,0.0006874836,0.0066924248,0.6479655963,0.0134633,0.0438211725,-0.9592895759,-0.0014249602,-0.0048845363,0.0010757641,right,w_r_o_l_c
