step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516583773,0.0054324603,0.4041932826,-0.9998918501,-0.0124104356,0.0045456657,0.006450275,0.7512453048,0.0380749478,0.0478916958,-0.9998918501,0.0027064583,-0.0003683067,0.001150025,left,open
2,0.5519410665,0.005396128,0.4036505516,-0.9998923744,-0.0120338157,0.005139235,0.0066343897,0.7499652391,0.0386787608,-0.1347761767,-0.9998923744,0.0031973479,0.0007012509,0.0024501714,left,open
3,0.5511545151,0.0053843995,0.4038186964,-0.9998787255,-0.0132831132,0.0050434224,0.0063762904,0.6049450684,0.0398071051,-0.1345297418,-0.9998787255,0.0042004008,4.68679003695478E-05,0.0023518156,left,w_r_o_l_c
