step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5517055864,0.0046674047,0.4034180243,0.9073793785,0.4202041939,-0.0095445373,2.57918584344565E-05,0.7536430363,0.5986503933,0.0512466051,0.9073793785,-0.0012576228,0.0013813556,0.0048230758,right,open
2,0.5508644857,0.0057486874,0.4045554641,-0.9078836969,-0.4191688455,0.0059294802,0.0030843263,0.7493853678,-0.046473974,0.0521577971,-0.9078836969,0.0007009244,8.23266950769166E-05,0.0015838575,left,open
3,0.5514268704,0.0065947947,0.4031424217,-0.9087990567,-0.4169762919,0.0145682424,0.0016771309,0.7500636693,-0.0462783655,-0.0470746817,-0.9087990567,-0.0031579963,0.0022283926,0.002788555,left,open
3,0.5520753176,0.0050679968,0.4034925285,0.9089148821,0.4169298826,-0.0064504496,0.0012656171,0.6887644785,-0.0462127572,-0.0475502775,0.9089148821,-0.0013089441,-0.0043639872,0.001264152,left,w_r_o_l_c
