step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5521320684,0.0061464153,0.4040785585,-0.999965278,-0.0042561967,0.0068014387,0.0022512136,0.7560342993,0.0103164397,0.0467192228,-0.999965278,-0.0031064821,-0.0018615995,0.0040371121,left,open
2,0.5521139777,0.0040181762,0.4034192844,-0.999968165,-0.0028045036,0.0062538571,0.0040857047,0.7585903323,0.0137753544,-0.1775025723,-0.999968165,-0.0032810564,-0.0053720068,0.0083744992,left,open
3,0.5523607579,0.0048473929,0.4035159963,-0.9999853804,-0.0044736494,0.0008354042,0.0029202002,0.6465796753,0.0145752953,-0.1782263318,-0.9999853804,-0.0033612481,-0.0008509188,0.0065023246,left,open
4,0.5524335153,0.0057295224,0.4046896712,0.9999155455,0.0114749225,-0.005893154,0.0015807634,0.6465492312,0.0139841902,-0.1146777924,0.9999155455,-0.0056600791,0.003621737,0.0045337801,left,w_r_o_l_c
