step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516283767,0.0059875684,0.4042255069,-0.9999437578,-0.006989911,0.0049814532,0.0062295747,0.7644123721,-0.0082257164,0.0503529894,-0.9999437578,-0.0071355345,-0.0071149141,0.0078940552,left,open
2,0.5542225181,0.0052791281,0.4971499757,-0.9999576365,-0.0029269365,0.0084047808,0.002349021,0.7636748394,-0.010372498,0.0504602721,-0.9999576365,-0.0019225028,-0.0040412723,0.0067782852,right,open
3,0.5542808116,0.0054008152,0.4973288356,-0.778735256,-0.6273052161,0.0046067552,0.0061923029,0.7643858858,-0.0093859464,0.0503578719,-0.778735256,-0.00237438,-0.0046486107,0.0077029501,right,open
4,0.5526759355,0.0054756818,0.4951972639,-0.7804504581,-0.6250695921,0.0075810891,0.0112966651,0.7625927234,-0.0074888304,0.1514846658,-0.7804504581,-0.0123162983,-0.0119333241,0.008989831,left,open
6,0.5543879381,0.0054707272,0.4975595423,-0.7800718852,-0.6255740401,0.009939828,0.0067951524,0.7158813795,-0.0060890138,0.1484064505,-0.7800718852,-0.0148339107,-0.0114391732,0.0108313542,left,w_r_o_l_c
