step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5528569979,0.0051656945,0.4038051773,-0.9999764785,-0.0034487938,0.0057109977,0.0015914476,0.7504916355,0.166563492,0.0502647556,-0.9999764785,-0.0014599908,0.0001691321,0.0016922157,left,open
2,0.5528792605,0.0055421086,0.4050651086,-0.999994874,-0.0025939338,0.0018393981,0.0003741851,0.7495080924,0.0240954643,0.0504967413,-0.999994874,0.0036871616,-0.0046782511,0.0009812815,left,open
3,0.5527283087,0.0052892222,0.404932454,0.999992231,0.0035374478,-0.0017213358,0.0002479303,0.7489790713,0.0236831734,0.223164544,0.999992231,0.0069744872,-0.0004873516,0.001196177,left,open
4,0.5055946599,-0.0416169475,0.4953460179,0.999995823,0.0027460361,-0.0009018008,8.22488746579614E-06,0.7491175908,0.0239259917,0.223448866,0.999995823,0.0119190818,0.0044803372,0.002850849,right,open
5,0.5054605254,-0.0416875349,0.4953217562,-0.4794441071,-0.8775711887,0.0004480506,0.0013986107,0.7494694826,0.0239193456,0.2224731944,-0.4794441071,0.012252195,0.0043155542,0.0028473222,right,open
6,0.5048033686,-0.0418288708,0.4949381912,-0.4816198388,-0.8763727923,-0.0035084242,0.0008664234,0.65447187,-0.0622004365,0.2229007568,-0.4816198388,0.0033450557,0.0027659136,0.0049477793,left,w_r_o_l_c
