step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516283767,0.0059875684,0.4042255069,-0.9999437578,-0.006989911,0.0049814532,0.0062295747,0.7644123721,-0.0082257164,0.0503529894,-0.9999437578,-0.0071355345,-0.0071149141,0.0078940552,left,open
2,0.5526648018,0.0038478537,0.4029523664,-0.70528698,-0.7089051217,-0.000677071,0.0048317546,0.765223653,-0.0092846399,0.0527101028,-0.70528698,-0.0016380597,-0.0125179739,0.0053851007,right,open
3,0.5525622272,0.0040879155,0.4032252642,-0.7015822429,-0.7125556924,0.0032558262,0.006011762,0.69593059,-0.009094841,0.0502906742,-0.7015822429,-0.0047024043,-0.0104270482,0.0028936844,left,w_r_o_l_c
