step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516283767,0.0059875684,0.4042255069,-0.9999437578,-0.006989911,0.0049814532,0.0062295747,0.7644123721,-0.0082257164,0.0503529894,-0.9999437578,-0.0071355345,-0.0071149141,0.0078940552,left,open
2,0.5521669994,0.0054772585,0.4037690994,-0.0773466327,-0.9969843097,-0.0053396827,0.0033574516,0.7650789979,-0.0071294546,0.0506104443,-0.0773466327,-0.0064958665,-0.0109626588,0.0055369643,right,open
3,0.551922893,0.0035900487,0.5100905625,0.0728101612,0.9972994266,0.009460529,0.0017414126,0.7647322581,-0.0063400137,0.0493863939,0.0728101612,-0.0094633093,-0.0058213521,0.013160536,right,open
4,0.5517665043,0.0033933443,0.509637003,0.073260609,0.9972738195,0.0087416903,0.0011811106,0.6733825542,-0.008638841,0.0484785954,0.073260609,-0.0095587372,-0.0054579044,0.0127710393,left,w_r_o_l_c
