step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5532318664,0.0059048271,0.4039066387,-0.5217716624,-0.853034337,0.0044707844,0.0081709462,0.7565116227,0.5929867009,0.0577457262,-0.5217716624,0.0107612453,-0.0019338832,0.0055803946,right,open
2,0.5529753044,0.0056871965,0.4036258559,-0.5184528109,-0.8549934208,0.0071441373,0.0119119515,0.743601168,0.0223030273,0.0500126945,-0.5184528109,-0.0092806507,-0.0022046512,0.0003159805,left,open
3,0.5519965776,0.0055102284,0.4032442401,-0.5203112797,-0.8538712717,0.0098115774,0.0091518616,0.7461547732,0.0225151051,-0.1060591674,-0.5203112797,0.0158647373,0.0055387537,0.0019956486,left,open
4,0.5524425288,0.0070049953,0.4046564937,-0.5162170561,-0.8564173412,0.0060847846,0.0056801517,0.6662672948,0.0270396368,-0.1031348741,-0.5162170561,0.0336577952,0.0125020602,0.0057715378,left,w_r_o_l_c
