step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516283767,0.0059875684,0.4042255069,-0.9999437578,-0.006989911,0.0049814532,0.0062295747,0.7644123721,-0.0082257164,0.0503529894,-0.9999437578,-0.0071355345,-0.0071149141,0.0078940552,left,open
2,0.5519268254,0.0052600874,0.4040206226,0.9999740643,0.0040472552,-0.0058108949,0.0013130158,0.7609287156,0.1524714258,0.0534620723,0.9999740643,-0.009819611,-0.010129259,0.0088750361,left,open
3,0.551697589,0.0054753219,0.4041221627,-0.9999207459,-0.0107347695,0.0035200339,0.0055566256,0.420307874,0.1599787452,0.0578079024,-0.9999207459,-0.009576676,-0.0087617888,0.0109794796,left,open
4,0.5523013122,0.0048960273,0.4044937657,-0.9999329645,-0.0094866688,0.0031369908,0.0058505555,0.4181535972,0.0045660382,0.0613883925,-0.9999329645,-0.0087415513,-0.0080921897,0.0104285656,left,open
5,0.5520108701,0.0055646953,0.4038807361,-0.9999613443,-0.0042464726,0.0036983188,0.0067527681,0.4199935132,0.0053653079,-0.0715101509,-0.9999613443,-0.0085369367,-0.0049545411,0.0047944467,left,open
6,0.5529622522,0.0053255073,0.4044657261,-0.9999652016,-0.0031553476,0.0022896175,0.0073754331,0.4585957705,0.0050909627,-0.0709740538,-0.9999652016,-0.0056438665,-0.0051208083,0.0010698602,left,w_r_o_l_c
