step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5521320684,0.0061464153,0.4040785585,-0.999965278,-0.0042561967,0.0068014387,0.0022512136,0.7560342993,0.0103164397,0.0467192228,-0.999965278,-0.0031064821,-0.0018615995,0.0040371121,left,open
2,0.5521139777,0.0040181762,0.4034192844,-0.999968165,-0.0028045036,0.0062538571,0.0040857047,0.7585903323,0.0137753544,-0.1775025723,-0.999968165,-0.0032810564,-0.0053720068,0.0083744992,left,open
3,0.5523607579,0.0048473929,0.4035159963,-0.9999853804,-0.0044736494,0.0008354042,0.0029202002,0.6465796753,0.0145752953,-0.1782263318,-0.9999853804,-0.0033612481,-0.0008509188,0.0065023246,left,open
4,0.5526081204,0.0053274064,0.4971655644,-0.9999803002,-0.004846146,0.0035978893,0.0017231519,0.6459377176,0.0146190988,-0.1784184099,-0.9999803002,-0.0033616046,0.0005277196,0.0025715372,right,open
5,0.5513986843,0.0052526613,0.4964926244,-0.9999674829,-0.0062774453,0.0013170059,0.0048879816,0.6103723578,0.0114408596,-0.1779673209,-0.9999674829,-0.005018053,0.0024454557,0.007561509,left,w_r_o_l_c
