step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516283767,0.0059875684,0.4042255069,-0.9999437578,-0.006989911,0.0049814532,0.0062295747,0.7644123721,-0.0082257164,0.0503529894,-0.9999437578,-0.0071355345,-0.0071149141,0.0078940552,left,open
2,0.5525399037,0.0046995319,0.4035142185,-0.9999775195,-0.0034156935,0.0046964989,0.0033520867,0.7615514094,-0.0098208677,0.1421739697,-0.9999775195,-0.0043153928,-0.0107310021,0.0067287608,left,open
3,0.5538902953,0.0038150975,0.5045905159,-0.9999461529,-0.0027778667,0.0050940436,0.0086038092,0.7620608598,-0.0091567231,0.1428354228,-0.9999461529,-0.0020576501,-0.0140724768,0.0084156036,right,open
4,0.5536127415,0.0038926413,0.5040470593,-0.9999501103,-0.0032696133,0.0052681927,0.0078315216,0.7617020058,-0.0103324232,0.1428829374,-0.9999501103,-0.001423133,-0.0140426366,0.0077560446,right,open
5,0.5542338914,0.0027254335,0.5039198345,-0.9999145243,0.0009511788,0.005765102,0.0116962812,0.6751752281,-0.0101990292,0.1403173818,-0.9999145243,-0.002934566,-0.0156006807,0.0029221074,left,w_r_o_l_c
