step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5525335058,0.0056212394,0.4044962678,-0.9999423951,-0.0075410594,0.0057573369,0.0050191696,0.7605170122,0.1981030472,0.0513194277,-0.9999423951,-0.0099469723,-0.0020074459,4.12045450355339E-05,left,open
2,0.5529789343,0.0047590159,0.4039416258,-0.9999512945,-0.0064705231,0.006163755,0.004189171,0.759682906,0.1977461583,0.197871897,-0.9999512945,0.0097988111,0.0017355278,0.0003429292,left,open
3,0.552748841,0.0048211988,0.4037456264,-0.9999507739,-0.0068840698,0.0060108535,0.0038638175,0.7636358539,0.0266770888,0.1977460365,-0.9999507739,-0.0099037227,-0.0026487266,0.000197826,left,open
4,0.5514413973,0.0041415871,0.4048052487,-0.9999426262,-0.0076675843,0.0068516445,0.0030012432,0.6884944906,0.0274304509,0.1972884448,-0.9999426262,-0.0098766687,-0.0031679365,0.0014269458,left,open
5,0.4732727208,0.0043794113,0.4060634894,-0.9999455689,-0.0066326119,0.005476703,0.0059053805,0.6884244036,0.0256121687,0.231206892,-0.9999455689,-0.0077073699,-0.0045517229,0.0018186361,right,open
6,0.4739017135,0.0038118635,0.4053340433,-0.9999383602,-0.009838295,0.0020410794,0.0047241577,0.688079172,0.0278087932,0.2881445535,-0.9999383602,-0.0062797318,0.0033661122,0.0017226829,left,open
7,0.4737134535,0.0037379561,0.4055610913,-0.999967757,-0.0055897598,0.0035593755,0.0045354614,0.6366594721,0.0265328727,0.288260553,-0.999967757,-0.009206307,0.0064690651,0.0066454793,left,open
8,0.47315801354587483,0.0046129260464173975,0.4065513999029302,-0.9998969560628598,-0.004190104425787974,0.010050931529025933,0.009354093036057283,0.6357178917209796,0.026068813922842816,0.2890300223508555,-0.9998969560628598,-0.01099899818213304,0.008073398419445484,0.012888514976392089,left,l_c_r_o
