step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516283767,0.0059875684,0.4042255069,-0.9999437578,-0.006989911,0.0049814532,0.0062295747,0.7644123721,-0.0082257164,0.0503529894,-0.9999437578,-0.0071355345,-0.0071149141,0.0078940552,left,open
2,0.5521615281,0.0057574079,0.4043870921,-0.999947121,-0.0035723508,0.009291156,0.0025822263,0.7640189499,0.1257902976,0.0541553735,-0.999947121,-0.0012714232,-0.0036356427,0.0077009082,left,open
3,0.5520501407,0.0053903175,0.4043185423,-0.9999773541,-0.0047960601,0.00208659,0.004234992,0.5665628957,0.1274891331,0.0498856635,-0.9999773541,-0.0008908967,-0.0059474942,0.0145894657,left,open
4,0.5529348518,0.005448914,0.4039028938,-0.9999500253,-0.009747589,0.0019013741,0.0011472641,0.5671220913,0.1280264394,0.0499155617,-0.9999500253,0.7432010597,0.0063432323,0.015082262,left,w_r_o_l_c
