step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5524473585,0.005311951,0.4041975129,-0.9999414179,-0.0102908803,0.0013591841,0.0030677518,0.6834796105,0.1154629142,0.080954612,-0.9999414179,0.0122500224,-0.005650504,0.0042097368,left,open
2,0.552382657,0.0050819463,0.4041399094,-0.6489114363,-0.7608498598,-0.0011244718,0.004491566,0.6838567006,0.1151616868,0.0813690101,-0.6489114363,0.0107267365,-0.0065415536,0.0045972032,right,open
3,0.5524303589,0.0053440671,0.4039598785,-0.6492382141,-0.7605695431,-0.0013517138,0.0046780702,0.6854788023,0.178920428,0.0822520147,-0.6492382141,0.009929144,-0.0067656976,0.0044518383,left,open
4,0.5534000535,0.0045476851,0.4040859868,-0.6496987454,-0.7601381811,-0.0073478958,0.0052435073,0.5962222324,0.1815029245,0.0809742711,-0.6496987454,0.0210139069,-0.005026954,0.0073077431,left,open
5,0.5534794663,0.0041816337,0.4039947261,0.6478416844,0.7617746069,-0.0002835879,0.0007209534,0.5966161843,0.1810718206,0.080669938,0.6478416844,-0.6920004217,-0.0142441253,0.0036016043,left,open
6,0.5530655936,0.0039785937,0.403684745,-0.6484130144,-0.7612397378,0.0006824366,0.0086115437,0.5960947039,0.1522304091,0.1199776371,-0.6484130144,-0.7248643278,-0.0129803718,0.0001126917,left,w_r_o_l_c
