step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5526553637,0.0055485325,0.4038283385,-0.9999774143,-0.0039436467,0.001187192,0.0053112239,0.7606729049,0.0229077103,0.0521899989,-0.9999774143,-0.0034690062,-0.0041956862,0.0057595178,left,open
2,0.5519383015,0.0051228051,0.4041438347,0.9999334297,0.0070757147,-0.0090503728,0.0010776185,0.7610604426,-0.0307555298,0.0514322605,0.9999334297,-0.0086669524,-0.0076753322,0.0003356865,left,open
3,0.5526471234,0.0053869904,0.4041433109,0.9999418214,0.0065105547,-0.0085876167,0.0004683174,0.6962931447,-0.0332355172,0.0505964168,0.9999418214,0.0076840824,0.0073099555,8.24621713674389E-05,left,open
4,0.5526588631,0.0056698613,0.4037719646,-0.9999416085,-0.0093498411,0.0042210151,0.0033975252,0.6953145957,-0.0345948806,0.0926586205,-0.9999416085,0.001837361,0.0112288357,0.0037973176,left,w_r_o_l_c
