step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516283767,0.0059875684,0.4042255069,-0.9999437578,-0.006989911,0.0049814532,0.0062295747,0.7644123721,-0.0082257164,0.0503529894,-0.9999437578,-0.0071355345,-0.0071149141,0.0078940552,left,open
2,0.5520181728,0.0048285302,0.4035492422,-0.8407194871,-0.5414432918,-0.0017079513,0.0051950632,0.7518421918,0.0218675239,0.0450770624,-0.8407194871,0.0018973637,0.0015796074,0.0024138568,right,open
3,0.5523128671,0.0050644877,0.4039627384,-0.8408122527,-0.5412961813,-0.0023766166,0.0052489621,0.7519203516,0.0683275529,0.0447382267,-0.8408122527,0.0024240034,0.0014994018,0.0037141407,left,open
4,0.5519432925,0.0055348087,0.4044717409,-0.8360644893,-0.5485420078,-0.0032624302,0.0093376608,0.6932880817,0.067608705,0.0445636063,-0.8360644893,0.0034397411,-0.0017393965,9.81764906217089E-08,left,w_r_o_l_c
