step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.3265641314,0.4126574112,0.4288113626,-0.5,-0.5,-0.5,0.5,0.4172970586,0.3475120812,0.5125729397,0.70079262,-0.7127366891,-0.0003198896,0.0299334828,right,open
2,0.3287913921,-0.0558831646,0.4252926347,-0.5,-0.5,0,0,0.4148796769,0.3466561385,0.5120923242,0.6918655265,-0.7215616106,-0.0013733452,0.0258659883,right,open
3,0.6947611823,-0.048759054,0.4287624082,0.5,0.5,0,0,0.6111492419,0.3502525392,0.5227373817,0.7,-0.7,0,0,right,open
4,0.6943120069,-0.0478203201,0.4284669866,0.7034666145,0.710723545,0.0005384114,0.0025446069,0.598728846,0.3438623135,0.5097159983,0.7,-0.7,0,0,left,open
5,0.6953860223,-0.0516697346,0.086267841,0.5,0.5,0,0,0.6009990884,0.3271517422,0.1365981763,0.7,-0.7,0,0,both,open
6,0.3549385585,-0.059320473,0.0854345054,-0.5,-0.5,0,0,0.3762251149,0.3276632885,0.1387328853,0.7,-0.7,0,0,both,open
7,0.3539534445,-0.0611961055,-0.1255507107,0.5,0.5,0,0,0.3764718165,0.3292129394,-0.1008835222,-0.7,0.7,0,0,both,w_r_o_l_o
