step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.552502308,0.0036009068,0.501916112,-0.9999353857,-0.0081798697,0.0022730041,0.0075596014,0.7546105171,0.6027300344,0.0601851161,-0.9999353857,0.0009513245,-0.0044580555,0.0041560715,right,open
2,0.5514259127,0.0041216588,0.5020560763,-0.9999446476,-0.0067671276,0.0067915991,0.0043337981,0.7585529353,0.0454791697,0.0563417862,-0.9999446476,0.0015913787,-0.0066186477,0.0036566651,left,open
3,0.552532799,0.0041169978,0.5033872554,-0.9998988588,-0.0034152115,0.0024793737,0.0135816496,0.7616302027,0.0459828137,-0.1130698375,-0.9998988588,0.0001262918,-0.0104208043,0.0016185369,left,open
4,0.5533321403,0.0043162981,0.5029760427,-0.9998987849,-0.0030077751,0.0018746451,0.0137789308,0.6375725806,0.0456072785,-0.1171084106,-0.9998987849,0.0013312813,-0.0090509355,0.0016351515,left,w_r_o_l_c
