step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516283767,0.0059875684,0.4042255069,-0.9999437578,-0.006989911,0.0049814532,0.0062295747,0.7644123721,-0.0082257164,0.0503529894,-0.9999437578,-0.0071355345,-0.0071149141,0.0078940552,left,open
2,0.5525342911,0.0048450518,0.403805048,-0.8840691052,-0.4672620112,0.0086648736,0.0035986111,0.7652715593,-0.0057013799,0.0496575787,-0.8840691052,-0.0097062756,-0.0119806982,0.0038446971,right,open
3,0.5540869236,0.0050782875,0.4907760266,-0.7408826259,-0.6715713993,0.0071401697,0.0058144886,0.7653222212,-0.0058500869,0.0499555026,-0.7408826259,-0.0089893812,-0.0121879826,0.0039655234,right,open
4,0.5553763618,0.0029033083,0.490691006,-0.7395368246,-0.6730805908,0.0042602726,0.0054455033,0.7658013327,-0.006938167,-0.0097441199,-0.7395368246,-0.0106548181,-0.0054971837,0.0031025902,left,open
5,0.5541550121,0.0049085667,0.4912901079,-0.7388664293,-0.6737243991,0.0110902338,0.0069885986,0.6734066351,-0.0093782877,-0.01299661,-0.7388664293,-0.0160515282,-0.0111692696,0.0090623566,left,w_r_o_l_c
