step,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,grippers
1,0.6664440191,-0.1107731374,-0.2155347002,-0.9999129611,0.0101194563,0.00838169,0.0011891542,0
2,0.6638765431,-0.1112261379,-0.0690292045,-0.9998873854,-0.0073668908,-0.0127473191,0.002907095,0
3,0.6671884747,-0.2866729438,-0.0698866458,-0.9998783389,-0.006741689,-0.0135276727,0.0038547622,0
4,0.6702987547,-0.2879040549,-0.1944262846,-0.9998966102,-0.0061794809,-0.0128481704,0.0018728098,1
