step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5550227558,0.0032324581,0.5014117158,-0.9999563342,-0.0053604709,0.0050901546,0.0057171149,0.7498066023,0.602266646,0.0493702734,-0.9999563342,-0.0008648881,0.000825209,0.0019092104,right,open
2,0.5537363994,0.0042480258,0.5003762858,-0.8075541062,0.5897276824,0.0088027824,0.0003703978,0.7500084761,0.6017319256,0.0494212503,-0.8075541062,-0.0007608631,0.0004273334,0.0009567831,right,open
3,0.5543686362,0.0039056907,0.5011060634,-0.8071902705,0.5902284446,0.0085102145,0.0013515186,0.750021573,0.0342201572,0.0472486575,-0.8071902705,0.0003339372,0.0013775788,0.0013749599,left,open
4,0.5535097805,0.0045796665,0.5005569717,0.8049912548,-0.5932198689,-0.0070067641,0.0054929186,0.7489924155,0.0357352591,-0.1267396046,0.8049912548,0.0001885978,0.0025162988,0.0048347955,left,open
5,0.5534249534,0.0033247983,0.5013095336,-0.8043913007,0.5939772593,0.0116319461,0.0032169227,0.6342528573,0.0352116713,-0.1287722948,-0.8043913007,-0.0030620151,0.0035599047,0.0074789648,left,w_r_o_l_c
