step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5529993218,0.0052717468,0.403201014,-0.9999091914,-0.0110606523,0.0044258082,0.0062994542,0.7586221277,0.0311747667,0.0530403463,-0.9999091914,-0.0041517347,-0.0034551844,0.0045008621,left,open
2,0.5523363361,0.0059239394,0.4042154178,-0.999948516,-0.0032164362,0.0080664893,0.0052489581,0.7579148295,0.0296158263,0.2041591551,-0.999948516,-0.0058444437,-0.0033363229,0.0039018992,left,open
3,0.5526677294,0.0051233669,0.5030843231,-0.9999631122,-0.0064073149,0.0053215522,0.0020979938,0.7580055822,0.0289621157,0.2040694086,-0.9999631122,-0.0073438349,-0.0030062462,0.0077049783,both,open
4,0.5530551371,0.006040268,0.5027259244,0.1685834656,-0.985661403,-0.0070703999,0.0011060018,0.7580777012,0.0288652737,0.2044121639,0.1685834656,-0.0075927259,0.0004653045,0.0050858222,right,open
5,0.5530348285,0.0043575669,0.502296983,0.163812241,-0.9864849916,-0.0033217749,0.0013699752,0.7572579335,0.0331312366,-0.0430599659,0.163812241,0.0003291342,0.0004427963,0.0083209483,left,open
6,0.5524016498,0.0066384861,0.5024136987,0.1743056062,-0.9846243453,-0.0094961607,0.0065020865,0.6804345148,-0.0479216347,0.0596202828,0.1743056062,-0.0013757503,0.0073406022,0.050140787,left,w_r_o_l_c
